words;count
against;364
ronaldo;330
league;256
cristiano;252
game;235
win;222
champions;210
team;191
liga;188
first;186
session;168
top;151
bernabeu;148
goals;147
squad;143
madrids;142
news;141
training;131
players;130
best;129
match;128
final;126
benzema;125
goal;124
season;121
ramos;108
official;103
all;102
out;97
man;95
castilla;95
bale;95
player;88
club;87
cup;85
laso;84
world;84
preparations;75
granada;75
zidane;73
modric;72
ancelotti;72
benitez;72
santiago;70
james;70
group;70
medical;66
starting;66
new;65
played;65
marcelo;64
time;64
continue;62
away;62
perez;62
third;61
games;61
scored;61
year;58
announcement;57
work;57
del;57
european;57
second;56
week;56
ahead;55
press;54
features;54
sergio;53
fans;53
four;53
espanyol;53
our;52
florentino;52
home;52
debut;51
report;50
an;49
three;49
more;49
scoring;49
over;49
di;48
hat;48
now;48
betis;47
line;47
highest;46
en;46
were;46
sporting;45
day;45
victory;45
history;45
before;44
special;44
trick;44
off;43
take;43
play;43
well;42
clasico;42
that;42
reports;41
isco;41
years;41
very;41
its;40
copa;40
come;40
personalities;39
stefano;39
kroos;39
five;39
bbc;38
won;38
barcelona;38
half;37
international;37
academy;37
navas;37
get;36
had;36
by;36
clash;36
wins;36
damages;35
scorer;35
make;34
casillas;34
complete;34
record;34
euroleague;34
side;33
start;33
conferences;33
beat;33
go;33
run;33
deserved;32
draw;32
named;32
football;32
but;32
titles;31
zidanes;31
deportivo;31
“the;31
tour;31
sevilla;31
keylor;31
great;30
us;30
malmo;30
basketball;30
good;30
stage;30
want;30
rodriguez;30
assists;30
xi;30
leagues;29
today;29
makes;29
finals;29
atletico;29
pepe;29
important;29
you;28
masterclass;28
foundation;28
carvajal;28
teams;27
thrashing;27
whites;27
back;27
playing;27
how;27
rey;27
ball;27
winning;26
silence;26
hands;26
lists;26
look;26
leaders;26
consecutive;26
varane;26
